Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
2020-08-31,0.7379217391304348,0.5837130434782609,0.5269565217391304,1.0441695652173912,0.6586521739130435,0.7002304347826087,0.12977391304347827,0.3611782608695652,1.5618347826086958
2020-09-01,0.715604347826087,0.5901826086956522,0.5273913043478261,1.0301739130434784,0.6614304347826088,0.7089260869565217,0.13153478260869567,0.346095652173913,1.5545869565217392
2020-09-02,0.6932869565217391,0.5966521739130435,0.5278260869565218,1.0161782608695653,0.6642086956521739,0.7176217391304348,0.13329565217391304,0.3310130434782609,1.5473391304347828
2020-09-03,0.6709695652173914,0.6031217391304348,0.5282608695652175,1.0021826086956522,0.6669869565217391,0.7263173913043478,0.13505652173913044,0.3159304347826087,1.5400913043478262
2020-09-04,0.6486521739130435,0.609591304347826,0.5286956521739131,0.9881869565217392,0.6697652173913043,0.7350130434782609,0.13681739130434784,0.30084782608695654,1.5328434782608698
2020-09-05,0.6263347826086957,0.6160608695652174,0.5291304347826087,0.9741913043478261,0.6725434782608696,0.7437086956521739,0.13857826086956523,0.28576521739130434,1.5255956521739131
2020-09-06,0.6040173913043478,0.6225304347826087,0.5295652173913044,0.9601956521739131,0.6753217391304348,0.752404347826087,0.1403391304347826,0.2706826086956522,1.5183478260869565
2020-09-07,0.5817,0.629,0.53,0.9462,0.6781,0.7611,0.1421,0.2556,1.5111
2020-09-08,0.835,0.421,0.5283,0.9591,0.9902,0.8667,0.1677,0.345,1.6167
2020-09-09,0.7333,0.1927,0.4917,1.11,0.7413,0.6167,0.1281,0.3494,1.8778
2020-09-10,0.625,0.532,0.51,0.7928,0.6433,0.5222,0.1417,0.3181,1.9
2020-09-11,0.5083,0.3645,0.4758,1.2619,0.7381,0.6611,0.14,0.3206,1.3944
2020-09-12,0.6767,0.516,0.4742,1.3278,0.7883,0.8556,0.1042,0.2619,1.3
2020-09-13,0.6775,0.50935,0.5025000000000001,1.2981,0.7625,0.8889,0.10164999999999999,0.28155,1.44165
2020-09-14,0.6783,0.5027,0.5308,1.2684,0.7367,0.9222,0.0991,0.3012,1.5833
2020-09-15,0.7283,0.2858,0.6792,0.9344,0.6,0.8389,0.0627,0.2525,2.0722
2020-09-16,0.8517,0.5,0.5858,1.6856,0.6715,0.7333,0.1778,0.35,1.1667
2020-09-17,0.8483,0.54,0.45,1.0241,0.8492,0.5,0.0706,0.5306,1.0111
2020-09-18,0.7767,0.3995,0.44,1.2319,0.7181,0.4778,0.1481,0.2569,0.6722
2020-09-19,0.83,0.2982,0.4275,1.1284,0.5931,0.4333,0.314,0.2537,0.6111
2020-09-20,0.8364777777777778,0.2985333333333334,0.42777777777777776,1.063788888888889,0.5671999999999999,0.4882444444444445,0.31185555555555555,0.24294444444444444,0.6117222222222222
2020-09-21,0.8429555555555556,0.29886666666666667,0.4280555555555555,0.9991777777777778,0.5413,0.5431888888888889,0.3097111111111111,0.2321888888888889,0.6123444444444445
2020-09-22,0.8494333333333333,0.2992,0.42833333333333334,0.9345666666666668,0.5154,0.5981333333333333,0.30756666666666665,0.22143333333333332,0.6129666666666667
2020-09-23,0.8559111111111111,0.2995333333333334,0.4286111111111111,0.8699555555555556,0.4895,0.6530777777777778,0.3054222222222222,0.21067777777777777,0.6135888888888889
2020-09-24,0.8623888888888889,0.29986666666666667,0.4288888888888889,0.8053444444444444,0.46359999999999996,0.7080222222222222,0.3032777777777778,0.19992222222222222,0.6142111111111112
2020-09-25,0.8688666666666667,0.3002,0.42916666666666664,0.7407333333333334,0.4377,0.7629666666666666,0.30113333333333336,0.18916666666666665,0.6148333333333333
2020-09-26,0.8753444444444444,0.3005333333333334,0.42944444444444446,0.6761222222222223,0.4118,0.817911111111111,0.2989888888888889,0.1784111111111111,0.6154555555555555
2020-09-27,0.8818222222222222,0.30086666666666667,0.4297222222222222,0.6115111111111111,0.3859,0.8728555555555555,0.29684444444444447,0.16765555555555556,0.6160777777777778
2020-09-28,0.8883,0.3012,0.43,0.5469,0.36,0.9278,0.2947,0.1569,0.6167
2020-09-29,0.3933,0.43,0.3733,0.9337,0.4896,0.6611,0.2421,0.2331,1.0111
2020-09-30,0.5117,0.2602,0.4017,0.6966,0.4981,0.6944,0.35,0.1894,0.7278
2020-10-01,0.4533,0.5238,0.4042,0.7197,0.4831,0.5889,0.0732,0.1494,1.4556
2020-10-02,0.565,0.4367,0.4083,1.1959,0.5819,0.3611,0.1365,0.1862,0.9667
2020-10-03,0.4533,0.374,0.4142,1.0247,0.5288,0.4667,0.1438,0.1925,0.7778
2020-10-04,0.45499999999999996,0.3325,0.42375,1.0497,0.59555,0.56945,0.20205,0.18655,0.7555499999999999
2020-10-05,0.4567,0.291,0.4333,1.0747,0.6623,0.6722,0.2603,0.1806,0.7333
2020-10-06,0.6817,0.2823,0.465,1.1466,0.6081,0.7889,0.2013,0.2006,0.6722
2020-10-07,0.5683,0.397,0.51,0.9784,0.6381,0.8944,0.1858,0.235,0.5667
2020-10-08,0.45,0.3075,0.5542,1.1028,0.5208,0.6667,0.2146,0.2612,0.4611
2020-10-09,0.675,0.2902,0.5283,0.9353,0.5608,1.0944,0.2092,0.2531,0.5556
2020-10-10,0.7283,0.3035,0.435,0.9853,0.5267,0.9333,0.1926,0.2738,0.5611
2020-10-11,0.73,0.248,0.48414999999999997,1.02765,0.5252,0.8332999999999999,0.1828,0.25,0.5139
